<Matrícula>;<Nome>;<Código do Curso>
001;Bulbasaur;066
004;Charmander;172
007;Squirtle;191
010;Caterpie;115
013;Weedle;061
016;Pidgey;037
019;Rattata;001
021;Spearow;037
023;Ekans;058
025;Pikachu;229
027;Sandshrew;077
029;NidoranF;058
032;NidoranM;058
035;Clefairy;324
037;Vulpix;172
039;Jigglypuff;307
041;Zubat;040
043;Oddish;066
046;Paras;205
048;Venonat;061
050;Digglet;077
052;Meowth;001
054;Psyduck;191
056;Mankey;020
058;Growlithe;172
060;Polliwag;191
063;Abra;248
066;Machop;020
069;Bellsprout;066
072;Tentacool;065
074;Geodude;078
077;Ponyta;172
079;Slowpoke;245
081;Magnemite;157
083;Farfetch'd;037
084;Doduo;037
086;Seel;191
088;Grimer;058
090;Shellder;191
092;Gastly;062
095;Onix;078
096;Drowzee;248
098;Krabby;191
100;Voltorb;229
102;Exeggcute;246
104;Cubone;077
106;Hitmonlee;020
107;Hitmonchan;020
108;Licktung;001
109;Koffing;058
111;Rhyhorn;095
113;Chansey;001
114;Tangela;210
115;Kangaskhan;001
116;Horsea;191
118;Goldeen;191
120;Staryu;191
122;Mr.Mime;320
123;Scyther;043
124;Jynx;249
125;Eletctabuzz;229
126;Magmar;172
127;Pinsir;115
128;Taurus;001
129;Magikarp;191
131;Lapras;263
132;Ditto;001
133;Eevee;001
137;Porygon;001
138;Omanyte;186
140;Kabuto;186
142;Aerodactyl;042
143;Snorlax;001
147;Dratini;286
