Docente;Código;Nome;Carga Horária Semestral
Dráuzio Varela;026;Máquinas 2;100
Dráuzio Varela;078;Abraçar árvore;140
Dráuzio Varela;155;Surf;102
Dráuzio Varela;480;Álgebra;60
Dráuzio Varela;740;Cálculo 1;107
Luiz Felipe Boina;002;Probabilidade;100
Luiz Felipe Boina;014;Projetos hidráulicos;60
Luiz Felipe Boina;451;Circuitos 2;80
Luiz Felipe Boina;875;Circuitos 1;78
Luiz Felipe Boina;980;Programação 2;80
Mestre dos magos;011;Admirar o sol;109
Mestre dos magos;017;Maquinas 1;80
Mestre dos magos;024;Artesanato;61
Mestre dos magos;741;Cálculo 3;60
Mestre dos magos;754;Programação 1;487
Ronaldinho;099;Algebra;200
Ronaldinho;100;Engenharia ambiental;100
Ronaldinho;123;Compiladores;120
Ronaldinho;664;Salto com vara;100
Ronaldinho;665;Jardinagem 2;100
Ronaldinho;667;Salto ornamental;100
Ronaldinho;989;Jardinagem 1;100
Ronaldinho;999;Jogos artísticos;100
Yoda;022;Vender miçanga;87
Yoda;157;Cálculo 3;107
Yoda;484;Estatística;120
Yoda;485;Engenharia de software;99
Yoda;587;Introdução a mecânica clássica;99
Yoda;666;Eletromagnetismo;400
Yoda;998;Empreendedorismo;100
