<matricula>;<nome>;<código do curso>
2021;Discente a;65
2022;Discente b;66
2023;Discente c;67
2024;Discente d;68
2025;Discente e;72
2026;Discente f;73
2027;Discente g;75
2028;Discente h;76
2029;Discente i;78
2030;Discente j;78
2031;Discente k;69
2032;Discente l;70
2033;Discente m;77
2034;Discente n;71
2035;Discente o;79
2036;Discente p;69
2037;Discente q;77
2038;Discente r;69
2039;Discente s;74
2040;Discente t;74
2041;Discente u;70
2042;Discente v;71
2043;Discente w;72
2044;Discente x;73
2045;Discente y;74
2046;Discente z;74
2047;Discente a1;76
2048;Discente a2;77
2049;Discente a3;78
2050;Discente a2;79
