Docente;Departamento;Horas Semanais Aula;Horas Semestrais Aula;Horas Semanais Orientação;Produções Qualificadas;Produções Não Qualificadas
Adolfo;Departamento D;21;210;60;2;1
Gabriela;Departamento C;21;210;40;2;1
Gilberto;Departamento E;20;210;25;2;1
Godofredo;Departamento C;21;210;40;1;2
Guilherme;Departamento B;21;210;30;1;2
Hella;Departamento A;21;210;60;1;2
Joana;Departamento D;21;210;15;1;2
Joao Pedro;Departamento A;21;210;15;2;1
Onofre;Departamento B;21;210;20;2;1
Thor;Departamento E;21;210;30;2;1
