Departamento;Docente;Cód. Curso;Curso;Horas Semestrais Aula
Departamento A;Hella;72;Curso h;50
Departamento A;Hella;73;Curso i;160
Departamento A;Joao Pedro;65;Curso a;120
Departamento A;Joao Pedro;66;Curso b;90
Departamento B;Guilherme;66;Curso b;50
Departamento B;Guilherme;67;Curso c;160
Departamento B;Onofre;74;Curso j;120
Departamento B;Onofre;75;Curso k;90
Departamento C;Gabriela;68;Curso d;120
Departamento C;Gabriela;69;Curso e;90
Departamento C;Godofredo;75;Curso k;50
Departamento C;Godofredo;76;Curso l;160
Departamento D;Adolfo;77;Curso m;120
Departamento D;Adolfo;78;Curso n;90
Departamento D;Joana;69;Curso e;50
Departamento D;Joana;70;Curso f;160
Departamento E;Gilberto;78;Curso n;50
Departamento E;Gilberto;79;Curso o;160
Departamento E;Thor;71;Curso g;120
Departamento E;Thor;72;Curso h;90
