Nome do Programa;Data de Ingresso;Matrícula;Nome
Mestrado em Electric/Electric;05/06/2018;83;Farfetch'd
Mestrado em Electric/Electric;05/06/2018;74;Geodude
Mestrado em Electric/Electric;05/06/2018;48;Venonat
Mestrado em Electric/Electric;05/06/2018;13;Weedle
Mestrado em Ice/Ice;01/02/2018;131;Lapras
Mestrado em Psychic/Fairy;07/07/2017;142;Aerodactyl
Mestrado em Psychic/Fairy;07/07/2017;69;Bellsprout
Mestrado em Psychic/Fairy;07/07/2017;1;Bulbasaur
Mestrado em Psychic/Fairy;07/07/2017;84;Doduo
Mestrado em Psychic/Fairy;07/07/2017;102;Exeggcute
Mestrado em Psychic/Fairy;07/07/2017;92;Gastly
Mestrado em Psychic/Fairy;07/07/2017;39;Jigglypuff
Mestrado em Psychic/Fairy;07/07/2017;124;Jynx
Mestrado em Psychic/Fairy;07/07/2017;140;Kabuto
Mestrado em Psychic/Fairy;07/07/2017;81;Magnemite
Mestrado em Psychic/Fairy;07/07/2017;122;Mr.Mime
Mestrado em Psychic/Fairy;07/07/2017;43;Oddish
Mestrado em Psychic/Fairy;07/07/2017;138;Omanyte
Mestrado em Psychic/Fairy;07/07/2017;95;Onix
Mestrado em Psychic/Fairy;07/07/2017;46;Paras
Mestrado em Psychic/Fairy;07/07/2017;16;Pidgey
Mestrado em Psychic/Fairy;07/07/2017;111;Rhyhorn
Mestrado em Psychic/Fairy;07/07/2017;123;Scyther
Mestrado em Psychic/Fairy;07/07/2017;79;Slowpoke
Mestrado em Psychic/Fairy;07/07/2017;21;Spearow
Mestrado em Psychic/Fairy;07/07/2017;72;Tentacool
Mestrado em Psychic/Fairy;07/07/2017;41;Zubat
