<Matrícula>;<Nome>;<Código do Curso>
3012001;Xuxa;001
3012002;Machado de Assis;002
3012003;Luan Santana;003
3012004;Ivete Sangalo;004
3012005;Elis Regina;005
3012006;Barão de Mauá;006
3012007;Dercy Gonçalves;007
3012008;Raul Seixas;008
3012009;Leonel Brizola;009
3012010;Tiririca;010
3012011;Gugu Liberato;011
3012012;Rogério Ceni;012
3012013;Michel Teló;013
3012014;Garrincha;014
3012015;Lampião;015
3012016;Claudia Leitte;006
3012017;Luís Carlos Prestes;007
3012018;Marcos Pontes;008
3012019;Fernando Collor;009
3012020;José Serra;010
3012021;Sócrates;001
3012022;Datena;002
3012023;Ronaldinho Gaucho;003
3012024;Joelma;004
3012025;Chico Buarque;005
3012026;Edir Macedo;005
3012027;Pelé;006
3012028;Jesus;008
3012029;Jesuis;008
3012030;Geremias;015
